ap-east-1, ami-04fb7eaa45bcdf668, FortiGate-VM64-AWSONDEMAND, build2571, 7.4.2, GA
ap-east-1, ami-04fb7eaa45bcdf668, FortiGate-VM64-AWSONDEMAND, build2571, 7.4.2, GA
ap-east-1, ami-05105c1dce18a9fa2, FortiGate-VM64-AWS, build1517, 7.2.5, GA
ap-east-1, ami-05105c1dce18a9fa2, FortiGate-VM64-AWS, build1517, 7.2.5, GA
ap-east-1, ami-0545c0511a3f4b97c, FortiGate-VM64-AWS, build0601, 7.0.14, GA
ap-east-1, ami-0545c0511a3f4b97c, FortiGate-VM64-AWS, build0601, 7.0.14, GA
ap-east-1, ami-0592068532ff06f2e, FortiGate-VMARM64-AWS, build1517, 7.2.5, GA
ap-east-1, ami-0592068532ff06f2e, FortiGate-VMARM64-AWS, build1517, 7.2.5, GA
ap-east-1, ami-05e0c4faa4d24ab58, FortiGate-VM64-AWS, build2571, 7.4.2, GA
ap-east-1, ami-05e0c4faa4d24ab58, FortiGate-VM64-AWS, build2571, 7.4.2, GA
ap-east-1, ami-060ac7708b4e620ba, FortiGate-VM64-AWSONDEMAND, build2662, 7.4.4, GA
ap-east-1, ami-069b42fb2a9307a7f, FortiGate-VMARM64-AWSONDEMAND, build2571, 7.4.2, GA
ap-east-1, ami-069b42fb2a9307a7f, FortiGate-VMARM64-AWSONDEMAND, build2571, 7.4.2, GA
ap-east-1, ami-06ddb3c2b8f34880a, FortiGate-VM64-AWSONDEMAND, build1577, 7.2.7, GA
ap-east-1, ami-06ddb3c2b8f34880a, FortiGate-VM64-AWSONDEMAND, build1577, 7.2.7, GA
ap-east-1, ami-06e74c467096f1c66, FortiGate-VM64-AWSONDEMAND, build1639, 7.2.8, GA
ap-east-1, ami-073a13d59fc66bd65, FortiGate-VMARM64-AWSONDEMAND, build0632, 7.0.15, GA
ap-east-1, ami-07dc962d73c169e1f, FortiGate-VMARM64-AWS, build2571, 7.4.2, GA
ap-east-1, ami-07dc962d73c169e1f, FortiGate-VMARM64-AWS, build2571, 7.4.2, GA
ap-east-1, ami-07def77fbd5499c11, FortiGate-VMARM64-AWSONDEMAND, build2463, 7.4.1, GA
ap-east-1, ami-07def77fbd5499c11, FortiGate-VMARM64-AWSONDEMAND, build2463, 7.4.1, GA
ap-east-1, ami-08024ee0ed29f016f, FortiGate-VMARM64-AWSONDEMAND, build1517, 7.2.5, GA
ap-east-1, ami-08024ee0ed29f016f, FortiGate-VMARM64-AWSONDEMAND, build1517, 7.2.5, GA
ap-east-1, ami-08a9f9119808912ea, FortiGate-VM64-AWSONDEMAND, build2573, 7.4.3, GA
ap-east-1, ami-08a9f9119808912ea, FortiGate-VM64-AWSONDEMAND, build2573, 7.4.3, GA
ap-east-1, ami-08b0fe2a7db5fd7d6, FortiGate-VMARM64-AWSONDEMAND, build1575, 7.2.6, GA
ap-east-1, ami-08b0fe2a7db5fd7d6, FortiGate-VMARM64-AWSONDEMAND, build1575, 7.2.6, GA
ap-east-1, ami-08bfe47f92bd343aa, FortiGate-VM64-AWSONDEMAND, build1575, 7.2.6, GA
ap-east-1, ami-08bfe47f92bd343aa, FortiGate-VM64-AWSONDEMAND, build1575, 7.2.6, GA
